sgx,sgy,sgz
-39.0625,-31.25,109.375
-39.0625,-31.25,117.1875
-39.0625,-31.25,125.0
-39.0625,-23.4375,7.8125
-39.0625,-23.4375,15.625
-39.0625,-23.4375,23.4375
-39.0625,-23.4375,31.25
-39.0625,-23.4375,39.0625
-39.0625,-23.4375,46.875
-39.0625,-23.4375,54.6875
-39.0625,-23.4375,62.5
-39.0625,-23.4375,70.3125
-39.0625,-23.4375,78.125
-39.0625,-23.4375,85.9375
-39.0625,-23.4375,93.75
-39.0625,-23.4375,101.5625
-39.0625,-23.4375,109.375
-39.0625,-15.625,0.0
-39.0625,-15.625,7.8125
-39.0625,-15.625,15.625
-39.0625,-15.625,23.4375
-39.0625,-15.625,31.25
-39.0625,-15.625,39.0625
-39.0625,-15.625,46.875
-39.0625,-15.625,54.6875
-39.0625,-15.625,62.5
-39.0625,-15.625,70.3125
-39.0625,-15.625,78.125
-39.0625,-15.625,85.9375
-39.0625,-7.8125,7.8125
-39.0625,-7.8125,15.625
-39.0625,-7.8125,23.4375
-39.0625,-7.8125,31.25
-39.0625,-7.8125,39.0625
-39.0625,-7.8125,46.875
-39.0625,-7.8125,54.6875
-39.0625,-7.8125,62.5
-39.0625,-7.8125,70.3125
-39.0625,0.0,23.4375
-39.0625,0.0,31.25
-39.0625,0.0,39.0625
-39.0625,0.0,46.875
-31.25,-85.9375,148.4375
-31.25,-78.125,140.625
-31.25,-78.125,148.4375
-31.25,-70.3125,132.8125
-31.25,-70.3125,140.625
-31.25,-70.3125,148.4375
-31.25,-62.5,117.1875
-31.25,-62.5,125.0
-31.25,-62.5,132.8125
-31.25,-62.5,140.625
-31.25,-54.6875,93.75
-31.25,-54.6875,101.5625
-31.25,-54.6875,109.375
-31.25,-54.6875,117.1875
-31.25,-54.6875,125.0
-31.25,-54.6875,132.8125
-31.25,-54.6875,140.625
-31.25,-46.875,70.3125
-31.25,-46.875,78.125
-31.25,-46.875,85.9375
-31.25,-46.875,93.75
-31.25,-46.875,101.5625
-31.25,-46.875,109.375
-31.25,-46.875,117.1875
-31.25,-46.875,125.0
-31.25,-46.875,132.8125
-31.25,-39.0625,54.6875
-31.25,-39.0625,62.5
-31.25,-39.0625,70.3125
-31.25,-39.0625,78.125
-31.25,-39.0625,85.9375
-31.25,-39.0625,93.75
-31.25,-39.0625,101.5625
-31.25,-39.0625,109.375
-31.25,-39.0625,117.1875
-31.25,-39.0625,125.0
-31.25,-31.25,46.875
-31.25,-31.25,54.6875
-31.25,-31.25,62.5
-31.25,-31.25,70.3125
-31.25,-31.25,78.125
-31.25,-31.25,85.9375
-31.25,-31.25,93.75
